Title,Publish Date,Format,Media Type,Series,Pillar,Month,Episode Number,Episode Part,Primary Link,YouTube URL,Duration,Podbean Link,Podbean Embeddable Link,Video ID,Summary,Featured
Mindset Reset (Part 3): The Transformation,"December 10, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,December 2025,,,https://www.theliberatingriver.com/e/mindset-reset-%c2%b7-episode-10-part-3-%e2%80%94-the-transformation/,,14:00,https://www.theliberatingriver.com/e/mindset-reset-%c2%b7-episode-10-part-3-%e2%80%94-the-transformation/,https://mcdn.podbean.com/mf/web/ccjjhi75jtn8r676/Ep10_Part_III.mp3,,,No
Mindset Reset (Part 2): For Purpose & Prosperity — Finding Clarity: The Power of the Shift,"December 3, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,December 2025,,,https://www.theliberatingriver.com/e/mindset-reset-part-ii-for-purpose-prosperity-%e2%80%94-finding-clarity-the-power-of-the-shift/,https://www.youtube.com/watch?v=664-5DHe_8I,12:22,https://www.theliberatingriver.com/e/mindset-reset-part-ii-for-purpose-prosperity-%e2%80%94-finding-clarity-the-power-of-the-shift/,https://mcdn.podbean.com/mf/web/b79e4q4qk58c4bxh/Ep10_Part_II.mp3,,,No
"Mindset Reset (Part 1): A Powerful Guide to Perspective-Taking for Spiritual Alignment, Emotional Clarity & Prosperity","November 26, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,November 2025,,,https://www.theliberatingriver.com/e/mindset-reset-a-powerful-guide-to-perspective-taking-for-spiritual-alignment-emotional-clarity-prosperity/,,16:03,https://www.theliberatingriver.com/e/mindset-reset-a-powerful-guide-to-perspective-taking-for-spiritual-alignment-emotional-clarity-prosperity/,https://mcdn.podbean.com/mf/web/nvtdaq48sktj3f4v/Ep10_Part_1.mp3,,,No
Cultivating Resilience (Part A-2): The Power of the Shift,"November 19, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,November 2025,,,https://www.theliberatingriver.com/e/cultivating-resilience-part-2-the-power-of-the-shift/,,19:21,https://www.theliberatingriver.com/e/cultivating-resilience-part-2-the-power-of-the-shift/,https://mcdn.podbean.com/mf/web/c6hjpipf7729d97h/Ep9_Part_2.mp3,,,No
Cultivating Resilience (Part A-1) | Finding Strength in Unexpected Places | The Power of Perspective,"November 12, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,November 2025,,,https://www.theliberatingriver.com/e/cultivating-resilience-finding-strength-in-unexpected-places-the-power-of-perspective/,,17:22,https://www.theliberatingriver.com/e/cultivating-resilience-finding-strength-in-unexpected-places-the-power-of-perspective/,https://mcdn.podbean.com/mf/web/jbquu5ybpeg6jn9w/Ep9_Part_1.mp3,,,No
Faith Deconstruction vs. Divine Awakening (Part 2): Rebuilding in Divine Design — Awakening Through Surrender,"November 5, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,November 2025,,,https://www.theliberatingriver.com/e/faith-deconstruction-vs-divine-awakening-part-2-rebuilding-in-divine-design-%e2%80%94-awakening-through-surrender/,,17:38,https://www.theliberatingriver.com/e/faith-deconstruction-vs-divine-awakening-part-2-rebuilding-in-divine-design-%e2%80%94-awakening-through-surrender/,https://mcdn.podbean.com/mf/web/6h849rwverp7zsj9/Episode8_Part2.mp3,,,No
Faith Deconstruction vs. Divine Awakening (Part 1): The Unraveling Begins — When Faith Feels Like Free Fall,"October 29, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,October 2025,,,https://www.theliberatingriver.com/e/faith-deconstruction-vs-divine-awakening-part-1-the-unraveling-begins-%e2%80%94-when-faith-feels-like-free-fall/,,16:29,https://www.theliberatingriver.com/e/faith-deconstruction-vs-divine-awakening-part-1-the-unraveling-begins-%e2%80%94-when-faith-feels-like-free-fall/,https://mcdn.podbean.com/mf/web/m5bid37skncjxgbu/Episode8_Part1.mp3,,,No
"Cultivating Intuitive Wisdom (Part 3) | Living by Inner Guidance | Trust, Act, and Flow with Purpose","October 22, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,October 2025,,,https://www.theliberatingriver.com/e/cultivating-intuitive-wisdom-part-3-living-by-inner-guidance-trust-act-and-flow-with-purpose/,https://www.youtube.com/watch?v=m_bAiZ7Q8h0,15:53,https://www.theliberatingriver.com/e/cultivating-intuitive-wisdom-part-3-living-by-inner-guidance-trust-act-and-flow-with-purpose/,https://mcdn.podbean.com/mf/web/grx6pib4ctnbszxs/Episode7_Part3.mp3,,,No
"Cultivating Intuitive Wisdom (Part 1) | Remembering the Gift | Faith, Flow, and the Power of Inner Guidance","October 8, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,October 2025,,,https://www.theliberatingriver.com/e/cultivating-intuitive-wisdom-pt-1-remembering-the-gift-faith-flow-and-the-power-of-inner-guidance/,,14:50,https://www.theliberatingriver.com/e/cultivating-intuitive-wisdom-pt-1-remembering-the-gift-faith-flow-and-the-power-of-inner-guidance/,https://mcdn.podbean.com/mf/web/d5xu5mtgkpmkxz8z/Episode7_Part1.mp3,,,No
"Cultivating Intuitive Wisdom (Part 2) | Clearing the Static | Silence the Noise, Hear the Spirit","October 6, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,October 2025,,,https://www.theliberatingriver.com/e/cultivating-intuitive-wisdom-part-2-clearing-the-static-silence-the-noise-hear-the-spirit/,https://www.youtube.com/watch?v=yXrfUX6tsFA,15:19,https://www.theliberatingriver.com/e/cultivating-intuitive-wisdom-part-2-clearing-the-static-silence-the-noise-hear-the-spirit/,https://mcdn.podbean.com/mf/web/mcug3aikmkc8z76p/Episode7_Part2.mp3,,,No
How to Protect Your Energy (Part 2) | Build Boundaries & Live in Alignment,"October 1, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,October 2025,,,https://www.theliberatingriver.com/e/how-to-protect-your-energy-part-2-build-boundaries-live-in-alignment/,https://www.youtube.com/watch?v=N1BjM_I7eI4,23:04,https://www.theliberatingriver.com/e/how-to-protect-your-energy-part-2-build-boundaries-live-in-alignment/,https://mcdn.podbean.com/mf/web/wyr92j2a9p53mget/Episode6_Part2.mp3,,,No
How to Protect Your Energy (Part 1) | Recognize the Signs & Stay Aligned,"September 24, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,September 2025,,,https://www.theliberatingriver.com/e/how-to-protect-your-energy-part-1-recognize-the-signs-stay-aligned/,https://www.youtube.com/watch?v=koThl7yM3TU,11:12,https://www.theliberatingriver.com/e/how-to-protect-your-energy-part-1-recognize-the-signs-stay-aligned/,https://mcdn.podbean.com/mf/web/8z557rsenmx3st9m/Episode6_Pt_I.mp3,,,No
"Reclaiming Your Inner Authority (Part 2) | Walking Boldly in Freedom, Trusting Spirit Within & Living Authentic Faith","September 17, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,September 2025,,,https://www.theliberatingriver.com/e/reclaiming-your-inner-authority-trusting-spirit-within-you-for-authentic-faith-%e2%80%94-walking-boldly-in-freedom/,,23:57,https://www.theliberatingriver.com/e/reclaiming-your-inner-authority-trusting-spirit-within-you-for-authentic-faith-%e2%80%94-walking-boldly-in-freedom/,https://mcdn.podbean.com/mf/web/pc3t4v7etx3zme93/Episode5_2.mp3,,,No
Reclaiming Your Inner Authority (Part 1) | Recognizing What Was Lost,"September 10, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,September 2025,,,https://www.theliberatingriver.com/e/reclaiming-your-inner-authority-trusting-spirit-within-you-for-authentic-faith-%e2%80%94-recognizing-what-was-lost/,,13:15,https://www.theliberatingriver.com/e/reclaiming-your-inner-authority-trusting-spirit-within-you-for-authentic-faith-%e2%80%94-recognizing-what-was-lost/,https://mcdn.podbean.com/mf/web/8qwjghjvtbf54ypt/Episode5_1.mp3,,,No
"Breaking Free from Fear-Based Obedience (Part 2) | Walking in Freedom through Love, Trust & Financial Alignment","September 3, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,September 2025,,,https://www.theliberatingriver.com/e/breaking-free-from-fear-based-obedience-choosing-love-trust-and-financial-freedom-%e2%80%94-walking-into-freedom/,,14:40,https://www.theliberatingriver.com/e/breaking-free-from-fear-based-obedience-choosing-love-trust-and-financial-freedom-%e2%80%94-walking-into-freedom/,https://mcdn.podbean.com/mf/web/yy9uuq4qmjkrx3eh/Episode4_PartII.mp3,,,No
"Breaking Free from Fear-Based Obedience (Part 1) | The Hidden Chains of Fear, Faith & Finances","August 27, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,August 2025,,,https://www.theliberatingriver.com/e/breaking-free-from-fear-based-obedience-choosing-love-trust-and-financial-freedom-%e2%80%94-recognizing-the-chains/,,14:44,https://www.theliberatingriver.com/e/breaking-free-from-fear-based-obedience-choosing-love-trust-and-financial-freedom-%e2%80%94-recognizing-the-chains/,https://mcdn.podbean.com/mf/web/usjd73hr6g2t3c6f/Episode4_Part_I.mp3,,,No
Unlocking Blessings | Releasing Religious Baggage & Shame for True Freedom,"August 20, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,August 2025,,,https://www.theliberatingriver.com/e/unlocking-blessings-releasing-religious-baggage-and-shame/,,12:11,https://www.theliberatingriver.com/e/unlocking-blessings-releasing-religious-baggage-and-shame/,https://mcdn.podbean.com/mf/web/kewcu3mww7k7i9gq/Episode3.mp3,,,No
Faithfulness vs Fear | How to Discern Healthy Faith & Begin Spiritual Healing,"August 13, 2025",Podcast Audio (Podbean),Longform,The Liberating River,,August 2025,,,https://www.theliberatingriver.com/e/faith-over-fear-how-to-overcome-fear-and-live-in-healthy-biblical-faith/,,21:53,https://www.theliberatingriver.com/e/faith-over-fear-how-to-overcome-fear-and-live-in-healthy-biblical-faith/,https://mcdn.podbean.com/mf/web/iiavg3uzznz3vvir/Episode_2.mp3,,,No
God Never Asked You to Suffer | Debunking Religious Suffering Myths,"August 6, 2025",Podcast Audio (Podbean),Longform,The Liberating River,Faith,August 2025,1,,https://www.theliberatingriver.com/e/god-never-asked-you-to-suffer-debunking-religious-suffering-myths/,,13:07,https://www.theliberatingriver.com/e/god-never-asked-you-to-suffer-debunking-religious-suffering-myths/,https://mcdn.podbean.com/mf/web/7j5gfnss2ghvtgj2/Episode_1.mp3,,,No
Why I Created The Liberating River Podcast: A Journey to Spiritual Freedom & Financial Healing,"August 1, 2025",Podcast Audio (Podbean),Longform,The Liberating River,General,August 2025,0,,https://www.theliberatingriver.com/e/why-i-created-the-liberating-river-podcast-a-journey-to-spiritual-freedom-financial-healing/,,02:01,https://www.theliberatingriver.com/e/why-i-created-the-liberating-river-podcast-a-journey-to-spiritual-freedom-financial-healing/,https://mcdn.podbean.com/mf/web/v6z5eskfjgwrcikq/Why_I_created_The_Liberating_River_Podcast66rm7.mp3,,,No
The Awakening Begins: Welcome to The Liberating River™,"July 29, 2025",Podcast Audio (Podbean),Longform,The Liberating River,General,July 2025,0,,https://www.theliberatingriver.com/e/the-awakening-begins-welcome-to-the-liberating-river%e2%84%a2/,https://www.youtube.com/watch?v=vo3jthIT3a8,00:57,https://www.theliberatingriver.com/e/the-awakening-begins-welcome-to-the-liberating-river%e2%84%a2/,https://mcdn.podbean.com/mf/web/zrkk935uebkx3ymy/The_Liberating_River_Podcast_Trailer.mp3,,,No
🎥Your Spirit Knows the Truth—Religious Conditioning Says Otherwise (PT-I),,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=SXIRqVQFf3c,https://www.youtube.com/watch?v=SXIRqVQFf3c,,,,SXIRqVQFf3c,,No
🎥Your Inner Authority | Making Decisions From Deep Peace Instead of Pressure (PT-I),,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=lvBNNFOMfDg,https://www.youtube.com/watch?v=lvBNNFOMfDg,,,,lvBNNFOMfDg,,No
🎥Unlocking Blessings | Releasing Religious Baggage for True Freedom,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=sl7keUdsNRk,https://www.youtube.com/watch?v=sl7keUdsNRk,,,,sl7keUdsNRk,,No
🎥The Authority God Gave You (And Why You're Still Acting Like You Don't Have It),,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=lB7zDa_4uks,https://www.youtube.com/watch?v=lB7zDa_4uks,,,,lB7zDa_4uks,,No
🎥Spiritual Truth Meets Financial Empowerment | New Podcast,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=3o1_ow-j10U,https://www.youtube.com/watch?v=3o1_ow-j10U,,,,3o1_ow-j10U,,No
🎥Rebuild After Faith Deconstruction | Living in Divine Design (Part 2),,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=ZNdHC_KPhgU,https://www.youtube.com/watch?v=ZNdHC_KPhgU,,,,ZNdHC_KPhgU,,No
🎥Protect Your Energy (Part 2) | Spirit-Led Boundaries to Heal & Thrive,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=FH2r8YLDjYI,https://www.youtube.com/watch?v=FH2r8YLDjYI,,,,FH2r8YLDjYI,,No
🎥Protect Your Energy (Part 1) | Signs & Stay Aligned,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=LbBJGEtotjA,https://www.youtube.com/watch?v=LbBJGEtotjA,,,,LbBJGEtotjA,,No
🎥Peace as Your Confirmation Signal | Hearing Spirit's Steady Hum,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=0_MV1LdQLvg,https://www.youtube.com/watch?v=0_MV1LdQLvg,,,,0_MV1LdQLvg,,No
🎥God Never Asked You to Suffer | Debunking Religious Suffering Myths,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=8W99oTw9UrQ,https://www.youtube.com/watch?v=8W99oTw9UrQ,,,,8W99oTw9UrQ,,No
🎥Faithfulness or Fear? Why This Question Changes Everything,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=lxMMdfAf790,https://www.youtube.com/watch?v=lxMMdfAf790,,,,lxMMdfAf790,,No
🎥Deconstruction vs. Divine Awakening (Part 1) | The Unraveling Begins,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=BRYJZSX-7eE,https://www.youtube.com/watch?v=BRYJZSX-7eE,,,,BRYJZSX-7eE,,No
🎥Breaking Old Conditioning | Trusting Your Intuitive Compass,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=y0WmLrJtheY,https://www.youtube.com/watch?v=y0WmLrJtheY,,,,y0WmLrJtheY,,No
🎥Bold and Unapologetic: Replace Fear with Faith and Finances,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=r1d3JMNu_Pc,https://www.youtube.com/watch?v=r1d3JMNu_Pc,,,,r1d3JMNu_Pc,,No
🎥 Your Perspective is Your Superpower—Here's How to Activate It,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=1efO9LBLWwU,https://www.youtube.com/watch?v=1efO9LBLWwU,,,,1efO9LBLWwU,,No
🎥 Your Perspective Is Keeping You Stuck,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=FULkqAoAGnM,https://www.youtube.com/watch?v=FULkqAoAGnM,,,,FULkqAoAGnM,,No
🎥 Your New Identity Is Waiting | Live From Divine Alignment PtIII,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=-ARKw98u_YI,https://www.youtube.com/watch?v=-ARKw98u_YI,,,,-ARKw98u_YI,,No
🎥 Your Leftover Beliefs Are Costing You Thousands #resetyourmindset #moneymastery,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=CJDbQb908aM,https://www.youtube.com/watch?v=CJDbQb908aM,,,,CJDbQb908aM,,No
🎥 You Don't Need Permission to Be Aligned,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=bAtHNSiv3CE,https://www.youtube.com/watch?v=bAtHNSiv3CE,,,,bAtHNSiv3CE,,No
🎥 You Don't Have to Stay Close to What Costs Your Peace,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=3uoSxrQHxBA,https://www.youtube.com/watch?v=3uoSxrQHxBA,,,,3uoSxrQHxBA,,No
🎥 Why Pausing Is Your Superpower | Here's Why,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=j-QOQRLSyZY,https://www.youtube.com/watch?v=j-QOQRLSyZY,,,,j-QOQRLSyZY,,No
🎥 When Your Perspective Changes Everything Changes,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=i2URJz4k81c,https://www.youtube.com/watch?v=i2URJz4k81c,,,,i2URJz4k81c,,No
🎥 True Wealth Isn't About Performance | It's About Alignment,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=7HlSBFNCfnA,https://www.youtube.com/watch?v=7HlSBFNCfnA,,,,7HlSBFNCfnA,,No
🎥 The Spiritual Prison You Don't Know You're In,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=CjXwiRGBnrk,https://www.youtube.com/watch?v=CjXwiRGBnrk,,,,CjXwiRGBnrk,,No
🎥 The Command Center | Your Thoughts Govern Your Results #mindset #mindsetmatters,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=gY3u__GV6xQ,https://www.youtube.com/watch?v=gY3u__GV6xQ,,,,gY3u__GV6xQ,,No
🎥 Static vs Signal |The Nervous System Truth Nobody Tells You About Money,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=Yq5P5gPm28U,https://www.youtube.com/watch?v=Yq5P5gPm28U,,,,Yq5P5gPm28U,,No
"🎥 Signal Over Static | Retuning Your Nervous System for Wealth, Stewardship & Money Alignment",,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=rRRp1Nccvyk,https://www.youtube.com/watch?v=rRRp1Nccvyk,,,,rRRp1Nccvyk,,No
🎥 Reset Your Relationship with Money Right Now,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=WDHf2KSWAmA,https://www.youtube.com/watch?v=WDHf2KSWAmA,,,,WDHf2KSWAmA,,No
"🎥 Ordinary Courage, Extraordinary Results",,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=EqipBdhBL-g,https://www.youtube.com/watch?v=EqipBdhBL-g,,,,EqipBdhBL-g,,No
🎥 Intentional Decision Architecture | Making Aligned Choices Without Panic #decisionarchitecture,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=0DLNXoEcslA,https://www.youtube.com/watch?v=0DLNXoEcslA,,,,0DLNXoEcslA,,No
🎥 Breaking Free Looks Like This; The Strength Inside You (Part B-1),,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=AF2pWuIPbkI,https://www.youtube.com/watch?v=AF2pWuIPbkI,,,,AF2pWuIPbkI,,No
🎥 Alignment Over Urgency: What to Release So Peace Can Lead,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=YinX0UIc6LI,https://www.youtube.com/watch?v=YinX0UIc6LI,,,,YinX0UIc6LI,,No
🎥 2026 Reset | Are You Ready to Build Bold?,,Podcast Video (YouTube),Longform,The Liberating River,,,,,https://www.youtube.com/watch?v=DDCalR06bEo,https://www.youtube.com/watch?v=DDCalR06bEo,,,,DDCalR06bEo,,No
Your Thoughts Are Literally Reshaping Your Life #mindset #transformation #personalgrowth #shorts,,YouTube Short,Shortform,The Book of Flo,,,,,https://www.youtube.com/watch?v=9H9a4Iwbc3U,https://www.youtube.com/watch?v=9H9a4Iwbc3U,,,,9H9a4Iwbc3U,,No
Your Prayers Aren't Working Because You're Doing This Wrong #SeedsofTrust #short,,YouTube Short,Shortform,The Book of Flo,,,,,https://www.youtube.com/watch?v=NVAALlgtgrA,https://www.youtube.com/watch?v=NVAALlgtgrA,,,,NVAALlgtgrA,,No
"Your Emotions Are Your Superpower, Not Your Weakness #selflove #mindset #shorts",,YouTube Short,Shortform,The Book of Flo,,,,,https://www.youtube.com/watch?v=koQ7nCbHZFo,https://www.youtube.com/watch?v=koQ7nCbHZFo,,,,koQ7nCbHZFo,,No
Your Darkest Chapter Isn't the End #spiritualposture #transformation #short,,YouTube Short,Shortform,The Book of Flo,,,,,https://www.youtube.com/watch?v=NvqBNI1XaX8,https://www.youtube.com/watch?v=NvqBNI1XaX8,,,,NvqBNI1XaX8,,No
You've Been Carrying Someone Else's Guilt #relatable #letitgo #shorts,,YouTube Short,Shortform,The Book of Flo,,,,,https://www.youtube.com/watch?v=Z1MP2to_Z9I,https://www.youtube.com/watch?v=Z1MP2to_Z9I,,,,Z1MP2to_Z9I,,No
You Know Better Than You're Living #honesty #personaltransformation #shorts,,YouTube Short,Shortform,The Book of Flo,,,,,https://www.youtube.com/watch?v=VvgZb1pzlKQ,https://www.youtube.com/watch?v=VvgZb1pzlKQ,,,,VvgZb1pzlKQ,,No
